$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link$
$47C00D,LN-OUE,Norsk Luftambulanse,Eurocopter EC135 T3H,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47C01E,LN-OUD,Norsk Luftambulanse,Eurocopter EC135 T3H,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47C0CF,LN-OUC,Norsk Luftambulanse,Eurocopter EC135 T3H,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47C1C6,LN-BSJ,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$47C39C,LN-BSB,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4843BB,PH-ELP,ANWB Medical Air Assistance,Eurocopter EC135 T2,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.anwb.nl/maa$
$4844C2,PH-MAA,ANWB Medical Air Assistance,Eurocopter EC135 T2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.anwb.nl/maa$
$484B58,PH-HVB,ANWB Medical Air Assistance,Eurocopter EC135 T2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.anwb.nl/maa$
$4853E2,PH-OOP,ANWB Medical Air Assistance,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.anwb.nl/maa$
$4853F6,PH-HOW,ANWB Medical Air Assistance,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.anwb.nl/maa$
$4857B3,PH-TTR,ANWB Medical Air Assistance,Eurocopter EC135 P3,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.anwb.nl/maa$
$485E49,PH-DOC,ANWB Medical Air Assistance,Eurocopter EC135 P3,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.anwb.nl/maa$
$48605B,PH-LLN,ANWB Medical Air Assistance,Eurocopter EC135 P3,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.anwb.nl/maa$
$48605C,PH-UMC,ANWB Medical Air Assistance,Eurocopter EC135 P3,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.anwb.nl/maa$
$489EC1,SP-HXB,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489EC2,SP-HXC,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489EC3,SP-HXD,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489EC4,SP-HXE,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489EC5,SP-HXF,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489EC6,SP-HXG,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489EC7,SP-HXH,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489EC8,SP-HXI,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489EC9,SP-HXK,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ECA,SP-HXL,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ECB,SP-HXM,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ECC,SP-HXN,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ECD,SP-HXO,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ECE,SP-HXP,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ED0,SP-HXR,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ED1,SP-HXS,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ED2,SP-HXT,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ED3,SP-HXU,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ED4,SP-HXW,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ED5,SP-HXZ,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ED7,SP-HXY,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$489ED8,SP-HXV,Polish Medical Air Service,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$48B2D0,SP-MXR,Polish Medical Air Rescue,Learjet 75 Liberty,LJ75,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$4A3610,342,SMURD Air Ambulance,Eurocopter EC135 T2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://en.wikipedia.org/wiki/SMURD$
$4A3611,343,SMURD Air Ambulance,Eurocopter EC135 T2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://en.wikipedia.org/wiki/SMURD$
$4A935A,SE-DZZ,Babcock Scandinavian AirAmbulance,Learjet 35A,LJ35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AA703,SE-IXC,Babcock Scandinavian AirAmbulance,B200 Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AA8CE,SE-JFN,Babcock Scandinavian AirAmbulance,Eurocopter EC135 T2,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AA921,SE-JIA,Babcock Scandinavian AirAmbulance,Eurocopter AS365 N2 Dauphin,AS65,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AA923,SE-JIC,Babcock Scandinavian AirAmbulance,Eurocopter AS365 N2 Dauphin,AS65,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AA924,SE-JID,Babcock Scandinavian AirAmbulance,Eurocopter AS365 N3 Dauphin,AS65,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA41,SE-JRA,Babcock Scandinavian AirAmbulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA42,SE-JRB,Babcock Scandinavian AirAmbulance,Eurocopter AS365 N3 Dauphin,AS65,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA44,SE-JRD,Babcock Scandinavian AirAmbulance,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA45,SE-JRE,Babcock Scandinavian AirAmbulance,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA46,SE-JRF,Babcock Scandinavian AirAmbulance,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA47,SE-JRG,Babcock Scandinavian AirAmbulance,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA4F,SE-JRO,Babcock Scandinavian AirAmbulance,MBB-Kawasaki BK 117 C-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA67,SE-JSG,Babcock Scandinavian AirAmbulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA68,SE-JSH,Babcock Scandinavian AirAmbulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA69,SE-JSI,Babcock Scandinavian AirAmbulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA6A,SE-JSJ,Babcock Scandinavian AirAmbulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA6B,SE-JSK,Babcock Scandinavian AirAmbulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA6C,SE-JSL,Babcock Scandinavian AirAmbulance,MBB-Kawasaki BK 117 D-3,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA70,SE-JSP,Babcock Scandinavian AirAmbulance,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA72,SE-JSR,Babcock Scandinavian AirAmbulance,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAA73,SE-JSS,Babcock Scandinavian AirAmbulance,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AAB01,SE-JXA,Svensk Luftambulans,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://svenskluftambulans.se/$
$4AAB02,SE-JXB,Svensk Luftambulans,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://svenskluftambulans.se/$
$4AAB03,SE-JXC,Svensk Luftambulans,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://svenskluftambulans.se/$
$4AAB04,SE-JXD,Svensk Luftambulans,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://svenskluftambulans.se/$
$4AAB05,SE-JXE,Svensk Luftambulans,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://svenskluftambulans.se/$
$4AAB06,SE-JXF,Svensk Luftambulans,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://svenskluftambulans.se/$
$4AACD0,SE-KFP,Babcock Scandinavian AirAmbulance,B200C Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AB2D6,SE-LVV,Babcock Scandinavian AirAmbulance,B200 Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AB43A,SE-MAZ,Babcock Scandinavian AirAmbulance,B200 Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AB548,SE-MJH,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AB549,SE-MJI,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4AB54A,SE-MJJ,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$4ACAC1,SE-RVA,Swedish Air Ambulance,Pilatus PC-24,PC24,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.airamb.se/en/home$
$4ACAC5,SE-RVE,Swedish Air Ambulance,Pilatus PC-24,PC24,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.airamb.se/en/home$
$4B1A00,HB-JWA,Swiss Air Ambulance AG,Bombardier Challenger 650,CL60,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B1A01,HB-JWB,Swiss Air Ambulance AG,Bombardier Challenger 650,CL60,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B1A02,HB-JWC,Swiss Air Ambulance AG,Bombardier Challenger 650,CL60,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B42F2,HB-ZJE,AAA Alpine Air Ambulance,Eurocopter EC135 P1,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.air-ambulance.ch/$
$4B43AA,HB-ZQG,Swiss Air Ambulance AG,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43AB,HB-ZQH,Swiss Air Ambulance AG,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43AC,HB-ZQI,Swiss Air Ambulance AG,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43AD,HB-ZQJ,Swiss Air Ambulance AG,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43AF,HB-ZQL,Swiss Air Ambulance AG,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43B0,HB-ZQM,Swiss Air Ambulance AG,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43B1,HB-ZQN,Swiss Air Ambulance AG,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43C7,HB-ZRJ,Swiss Air Ambulance AG,Eurocopter AS350 Squirrel B3,AS50,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43CB,HB-ZRN,Swiss Air Ambulance AG,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43CD,HB-ZRP,Swiss Air Ambulance AG,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43CE,HB-ZRQ,Swiss Air Ambulance AG,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43CF,HB-ZRR,Swiss Air Ambulance AG,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43D0,HB-ZRS,Swiss Air Ambulance AG,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43D1,HB-ZRT,Swiss Air Ambulance AG,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43D2,HB-ZRU,Swiss Air Ambulance AG,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43D4,HB-ZRW,Swiss Air Ambulance AG,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43D5,HB-ZRX,Swiss Air Ambulance AG,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43D6,HB-ZRY,Swiss Air Ambulance AG,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B43D7,HB-ZRZ,Swiss Air Ambulance AG,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.swiss-air-ambulance.ch$
$4B4410,HB-ZUE,AAA Alpine Air Ambulance,Eurocopter EC135 T2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.air-ambulance.ch/$
$4BCA61,TC-RSA,Redstar Aviation,BAe Jetstream 32-17,JS32,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.redstar.com.tr$
$4BCA62,TC-RSB,Redstar Aviation,Learjet 45,LJ45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.redstar.com.tr$
$4BCA63,TC-RSC,Redstar Aviation,Learjet 45XR,LJ45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.redstar.com.tr$
$4BCA64,TC-RSD,Redstar Aviation,Learjet 45XR,LJ45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.redstar.com.tr$
$4BCA65,TC-RSE,Redstar Aviation,Learjet 45,LJ45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.redstar.com.tr$
$4BD130,TC-TIP,Redstar Aviation,Mil Mi-2,MI2,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.redstar.com.tr/$
$4CAB3D,EJ-REVA,Reva Air Ambulance,Hawker 125 800XP,H25B,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.flyreva.com$
$4CAEC8,EI-HNH,Avincis,EC45 • Airbus Helicopters H145,EC45,Flying Doctors,,,EIHNH,Flying Doctors,https://www.flightradar24.com/data/aircraft/ei-hnh$
$4D0285,LX-TWO,Luxembourg Air Ambulance,Learjet 45XR,LJ45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lar.lu/en$
$4D0287,LX-HMD,Luxembourg Air Rescue,MD 900 Explorer,EXPL,Civ,Air Ambo,Flying Doctors,Medical Evac,Flying Doctors,https://www.lar.lu/en$
$4D0288,LX-HPG,Luxembourg Air Rescue,MD 900 Explorer,EXPL,Civ,Air Ambo,Flying Doctors,Medical Evac,Flying Doctors,https://www.lar.lu/en$
$4D028A,LX-HRC,Luxembourg Air Rescue,MD 900 Explorer,EXPL,Civ,Air Ambo,Flying Doctors,Medical Evac,Flying Doctors,https://www.lar.lu/en$
$4D028E,LX-ONE,Luxembourg Air Ambulance,Learjet 45XR,LJ45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.air-ambulance.lu$
$4D028F,LX-RHC,Luxembourg Air Ambulance,Bombardier Challenger 605,CL60,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lar.lu/en$
$4D0290,LX-RSQ,Luxembourg Air Ambulance,Learjet 45XR,LJ45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lar.lu/en$
$4D0293,LX-EAA,Luxembourg Air Ambulance,Learjet 45XR,LJ45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lar.lu/en$
$4D0294,LX-LAA,Luxembourg Air Ambulance,Learjet 45XR,LJ45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lar.lu/en$
$4D0295,LX-LAR,Luxembourg Air Ambulance,Learjet 45,LJ45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lar.lu/en$
$505DF4,OM-ATT,Air Transport Europe,Bell 429 GlobalRanger,B429,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ate.sk/en/$
$505E14,OM-ATP,Air Transport Europe,Agusta A109K2,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ate.sk/en/$
$505E34,OM-ATQ,Air Transport Europe,Airbus Helicopters H135,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ate.sk/en/$
$505E8B,OM-ATK,Air Transport Europe,Agusta A109K2,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ate.sk/en/$
$505E8D,OM-ATM,Air Transport Europe,Bell 429 GlobalRanger,B429,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ate.sk/en/$
$505E8E,OM-ATN,Air Transport Europe,Cessna Citation Bravo,C55B,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ate.sk/en/$
$505E95,OM-ATU,Air Transport Europe,Bell 429 GlobalRanger,B429,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ate.sk/en/$
$505E97,OM-ATW,Air Transport Europe,Airbus Helicopters H135,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ate.sk/en/$
$505F1D,OM-ATX,Air Transport Europe,Bell 429 GlobalRanger,B429,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ate.sk/en/$
$505F54,OM-ATZ,Air Transport Europe,Airbus Helicopters H135,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ate.sk/en/$
$710022,HZ-MS4C,Saudi Armed Forces Medical Services,Gulfstream G450,GLF4,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$710196,HZ-MS51,Saudi Armed Forces Medical Services,AgustaWestland AW.139,A139,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$710197,HZ-MS52,Saudi Armed Forces Medical Services,AgustaWestland AW.139,A139,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$7101A1,HZ-MS4A,Saudi Armed Forces Medical Services,Gulfstream G450,GLF4,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$7101E0,HZ-MS5A,Saudi Armed Forces Medical Services,Gulfstream G500,GLF5,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$710204,HZ-MS71,Saudi Armed Forces Medical Services,B350C Super King Air,B350,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$710205,HZ-MS72,Saudi Armed Forces Medical Services,B350C Super King Air,B350,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$710208,HZ-MS73,Saudi Armed Forces Medical Services,B350C Super King Air,B350,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$710209,HZ-MS74,Saudi Armed Forces Medical Services,B350C Super King Air,B350,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$71020A,HZ-MS75,Saudi Armed Forces Medical Services,B350C Super King Air,B350,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$71021D,HZ-MS1A,Saudi Armed Forces Medical Services,Learjet 60XR,LJ60,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$71021E,HZ-MS1B,Saudi Armed Forces Medical Services,Learjet 60XR,LJ60,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$710386,HZ-128,Saudi Armed Forces Medical Services,L-100-30 Hercules,C130,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$7103E8,HZ-MS4B,Saudi Armed Forces Medical Services,Gulfstream G450,GLF4,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$7103F5,HZ-MS5B,Saudi Armed Forces Medical Services,Gulfstream G500,GLF5,Mil,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/4mci$
$7306C1,EP-AVA,Ava Salamat Air Ambulance,MBB-Kawasaki BK 117 C-1,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.heliava.ir/en/$
$7306C2,EP-AVB,Ava Salamat Air Ambulance,MBB-Kawasaki BK 117 C-1,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.heliava.ir/en/$
$7306C3,EP-AVC,Ava Salamat Air Ambulance,MBB-Kawasaki BK 117 C-1,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.heliava.ir/en/$
$7306C4,EP-AVD,Ava Salamat Air Ambulance,MBB-Kawasaki BK 117 C-1,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.heliava.ir/en/$
$7306C7,EP-AVG,Ava Salamat Air Ambulance,MBB-Kawasaki BK 117 C-1,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.heliava.ir/en/$
$7C19C6,VH-FDK,Royal Flying Doctor Service,Pilatus PC-12 45,PC12,Civ,Air Ambo,Medical Evac,RFDS,Flying Doctors,https://www.flyingdoctor.org.au$
